	Laquelle de ces montures n'est pas sortie durant l'extension  The Burning Crusade ?	Faucon-dragon bleu	Raies du néant	Drake de l'aile-du-néant	Rênes du seigneur corbeau	Minuit	Faucon-pérégrin blanc rapide	BC	
	A quelle classe appartient le sort "Nova du chaos" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Rayon accablant" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Retraite vengeresse" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Ruée fulgurante" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Ténébres" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Voile corrompu" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Aura d'immolation" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Division de l'âme" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Entaille" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Frappe infernale" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Marque enflammée" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Marques protectrices" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Pointes démoniaques" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Sigil de supplice" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Sigil de silence" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Sigil de feu" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Tourment" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Affliction instable" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Agonie" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Asservissement de démon" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Bannir" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Captation de vie" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Connexion" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Corruption" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Drain d'âme" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Graine de corruption" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Peur" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Pierre d'âme" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Cercle démoniaque" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Courroux démoniaque" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Destin funeste" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Drain de vie" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Main de Gul'dan" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Renforcement démoniaque" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Résolution interminable" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Conflagration" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Immolation" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Incinérer" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Pluie de feu" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Trait du chaos" ?	Le démoniste						Sort/joueur	
	A quelle classe appartient le sort "Tumulte" ?	Le démoniste						Sort/joueur	
	Quel boss utilise la technique "Tourbillon corrupteur" ?	Garrosh Hurlenfer						Sort/boss	
